quest_id	title	eq_group	eq_zone	eq_phase	category	confidence_in_classification	finding	related_ids_not_replacements	next_step	sources	exact_title_candidates_not_replacements
7402	"Wanted": ORCS!	Battlegrounds	2597		Историческая PvP-механика	high	Старая сдача зубов орков игроков в Alterac Valley; исторический квест удален в patch 1.10.0. Это не будущая фаза TBC и не новый ID.		Кандидат на историческую/недоступную запись для Anniversary; историю выполнения не удалять.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3016 ; https://warcraft.wiki.gg/wiki/Wanted%3A_ORCS%21	-
7633	An Introduction	Classes	-261		Вводный квест охотника: причина API неизвестна	low	Вводная запись у Vartrus после The Ancient Leaf 7632; Questie сохраняет её в TBC. Доказательств смены ID или удаления именно в Anniversary нет.	7632,7634,7635,7636	Оставить на проверке; снять ID при диалоге/сдаче на охотнике с выполненным 7632.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3084 ; https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/Corrections/classicQuestFixes.lua#L4217 ; https://classicdb.ch/?quest=7633	-
7660	Wolf Swapping - Arctic Wolf	Kalimdor	1637		Обмен старых маунтов	medium	Wolf Swapping - Arctic Wolf: обмен старого неброневого эпического маунта на новый бронированный, а не способ получить старую модель. Исторический механизм patch 1.4; в интервью Blizzard подтвердили, что исходные неброневые маунты не возвращали в Classic. Поэтому для Anniversary это обоснованно историческая запись, но сам NPC сейчас не проверялся.		Не ждать фаз 4/5 TBC. Кандидат на Legacy/Unavailable с сохранением записи и истории; не заменять ID.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3111 ; https://www.wowhead.com/classic/news/brian-birmingham-and-patrick-dawson-from-wow-classic-on-vanilla-collector-s-291717 ; https://www.wowhead.com/wotlk/quest=7660/wolf-swapping-arctic-wolf	-
7661	Wolf Swapping - Red Wolf	Kalimdor	1637		Обмен старых маунтов	medium	Wolf Swapping - Red Wolf: обмен старого неброневого эпического маунта на новый бронированный, а не способ получить старую модель. Исторический механизм patch 1.4; в интервью Blizzard подтвердили, что исходные неброневые маунты не возвращали в Classic. Поэтому для Anniversary это обоснованно историческая запись, но сам NPC сейчас не проверялся.		Не ждать фаз 4/5 TBC. Кандидат на Legacy/Unavailable с сохранением записи и истории; не заменять ID.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3112 ; https://www.wowhead.com/classic/news/brian-birmingham-and-patrick-dawson-from-wow-classic-on-vanilla-collector-s-291717 ; https://www.wowhead.com/wotlk/quest=7660/wolf-swapping-arctic-wolf	-
7662	New Kodo - Teal	Kalimdor	215		Обмен старых маунтов	medium	New Kodo - Teal: обмен старого неброневого эпического маунта на новый бронированный, а не способ получить старую модель. Исторический механизм patch 1.4; в интервью Blizzard подтвердили, что исходные неброневые маунты не возвращали в Classic. Поэтому для Anniversary это обоснованно историческая запись, но сам NPC сейчас не проверялся.		Не ждать фаз 4/5 TBC. Кандидат на Legacy/Unavailable с сохранением записи и истории; не заменять ID.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3113 ; https://www.wowhead.com/classic/news/brian-birmingham-and-patrick-dawson-from-wow-classic-on-vanilla-collector-s-291717 ; https://www.wowhead.com/wotlk/quest=7660/wolf-swapping-arctic-wolf	-
7663	New Kodo - Green	Kalimdor	215		Обмен старых маунтов	medium	New Kodo - Green: обмен старого неброневого эпического маунта на новый бронированный, а не способ получить старую модель. Исторический механизм patch 1.4; в интервью Blizzard подтвердили, что исходные неброневые маунты не возвращали в Classic. Поэтому для Anniversary это обоснованно историческая запись, но сам NPC сейчас не проверялся.		Не ждать фаз 4/5 TBC. Кандидат на Legacy/Unavailable с сохранением записи и истории; не заменять ID.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3114 ; https://www.wowhead.com/classic/news/brian-birmingham-and-patrick-dawson-from-wow-classic-on-vanilla-collector-s-291717 ; https://www.wowhead.com/wotlk/quest=7660/wolf-swapping-arctic-wolf	-
7664	Ivory Raptor Replacement	Kalimdor	14		Обмен старых маунтов	medium	Ivory Raptor Replacement: обмен старого неброневого эпического маунта на новый бронированный, а не способ получить старую модель. Исторический механизм patch 1.4; в интервью Blizzard подтвердили, что исходные неброневые маунты не возвращали в Classic. Поэтому для Anniversary это обоснованно историческая запись, но сам NPC сейчас не проверялся.		Не ждать фаз 4/5 TBC. Кандидат на Legacy/Unavailable с сохранением записи и истории; не заменять ID.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3115 ; https://www.wowhead.com/classic/news/brian-birmingham-and-patrick-dawson-from-wow-classic-on-vanilla-collector-s-291717 ; https://www.wowhead.com/wotlk/quest=7660/wolf-swapping-arctic-wolf	-
7665	Red Raptor Replacement	Kalimdor	14		Обмен старых маунтов	medium	Red Raptor Replacement: обмен старого неброневого эпического маунта на новый бронированный, а не способ получить старую модель. Исторический механизм patch 1.4; в интервью Blizzard подтвердили, что исходные неброневые маунты не возвращали в Classic. Поэтому для Anniversary это обоснованно историческая запись, но сам NPC сейчас не проверялся.		Не ждать фаз 4/5 TBC. Кандидат на Legacy/Unavailable с сохранением записи и истории; не заменять ID.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3116 ; https://www.wowhead.com/classic/news/brian-birmingham-and-patrick-dawson-from-wow-classic-on-vanilla-collector-s-291717 ; https://www.wowhead.com/wotlk/quest=7660/wolf-swapping-arctic-wolf	-
7671	Frostsaber Replacement	Kalimdor	1657		Обмен старых маунтов	medium	Frostsaber Replacement: обмен старого неброневого эпического маунта на новый бронированный, а не способ получить старую модель. Исторический механизм patch 1.4; в интервью Blizzard подтвердили, что исходные неброневые маунты не возвращали в Classic. Поэтому для Anniversary это обоснованно историческая запись, но сам NPC сейчас не проверялся.		Не ждать фаз 4/5 TBC. Кандидат на Legacy/Unavailable с сохранением записи и истории; не заменять ID.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3122 ; https://www.wowhead.com/classic/news/brian-birmingham-and-patrick-dawson-from-wow-classic-on-vanilla-collector-s-291717 ; https://www.wowhead.com/wotlk/quest=7660/wolf-swapping-arctic-wolf	-
7672	Nightsaber Replacement	Kalimdor	1657		Обмен старых маунтов	medium	Nightsaber Replacement: обмен старого неброневого эпического маунта на новый бронированный, а не способ получить старую модель. Исторический механизм patch 1.4; в интервью Blizzard подтвердили, что исходные неброневые маунты не возвращали в Classic. Поэтому для Anniversary это обоснованно историческая запись, но сам NPC сейчас не проверялся.		Не ждать фаз 4/5 TBC. Кандидат на Legacy/Unavailable с сохранением записи и истории; не заменять ID.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3123 ; https://www.wowhead.com/classic/news/brian-birmingham-and-patrick-dawson-from-wow-classic-on-vanilla-collector-s-291717 ; https://www.wowhead.com/wotlk/quest=7660/wolf-swapping-arctic-wolf	-
7673	Frost Ram Exchange	Eastern Kingdoms	1		Обмен старых маунтов	medium	Frost Ram Exchange: обмен старого неброневого эпического маунта на новый бронированный, а не способ получить старую модель. Исторический механизм patch 1.4; в интервью Blizzard подтвердили, что исходные неброневые маунты не возвращали в Classic. Поэтому для Anniversary это обоснованно историческая запись, но сам NPC сейчас не проверялся.		Не ждать фаз 4/5 TBC. Кандидат на Legacy/Unavailable с сохранением записи и истории; не заменять ID.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3124 ; https://www.wowhead.com/classic/news/brian-birmingham-and-patrick-dawson-from-wow-classic-on-vanilla-collector-s-291717 ; https://www.wowhead.com/wotlk/quest=7660/wolf-swapping-arctic-wolf	-
7674	Black Ram Exchange	Eastern Kingdoms	1		Обмен старых маунтов	medium	Black Ram Exchange: обмен старого неброневого эпического маунта на новый бронированный, а не способ получить старую модель. Исторический механизм patch 1.4; в интервью Blizzard подтвердили, что исходные неброневые маунты не возвращали в Classic. Поэтому для Anniversary это обоснованно историческая запись, но сам NPC сейчас не проверялся.		Не ждать фаз 4/5 TBC. Кандидат на Legacy/Unavailable с сохранением записи и истории; не заменять ID.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3125 ; https://www.wowhead.com/classic/news/brian-birmingham-and-patrick-dawson-from-wow-classic-on-vanilla-collector-s-291717 ; https://www.wowhead.com/wotlk/quest=7660/wolf-swapping-arctic-wolf	-
7675	Icy Blue Mechanostrider Replacement	Eastern Kingdoms	1		Обмен старых маунтов	medium	Icy Blue Mechanostrider Replacement: обмен старого неброневого эпического маунта на новый бронированный, а не способ получить старую модель. Исторический механизм patch 1.4; в интервью Blizzard подтвердили, что исходные неброневые маунты не возвращали в Classic. Поэтому для Anniversary это обоснованно историческая запись, но сам NPC сейчас не проверялся.		Не ждать фаз 4/5 TBC. Кандидат на Legacy/Unavailable с сохранением записи и истории; не заменять ID.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3126 ; https://www.wowhead.com/classic/news/brian-birmingham-and-patrick-dawson-from-wow-classic-on-vanilla-collector-s-291717 ; https://www.wowhead.com/wotlk/quest=7660/wolf-swapping-arctic-wolf	-
7676	White Mechanostrider Replacement	Eastern Kingdoms	1		Обмен старых маунтов	medium	White Mechanostrider Replacement: обмен старого неброневого эпического маунта на новый бронированный, а не способ получить старую модель. Исторический механизм patch 1.4; в интервью Blizzard подтвердили, что исходные неброневые маунты не возвращали в Classic. Поэтому для Anniversary это обоснованно историческая запись, но сам NPC сейчас не проверялся.		Не ждать фаз 4/5 TBC. Кандидат на Legacy/Unavailable с сохранением записи и истории; не заменять ID.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3127 ; https://www.wowhead.com/classic/news/brian-birmingham-and-patrick-dawson-from-wow-classic-on-vanilla-collector-s-291717 ; https://www.wowhead.com/wotlk/quest=7660/wolf-swapping-arctic-wolf	-
7677	White Stallion Exchange	Eastern Kingdoms	12		Обмен старых маунтов	medium	White Stallion Exchange: обмен старого неброневого эпического маунта на новый бронированный, а не способ получить старую модель. Исторический механизм patch 1.4; в интервью Blizzard подтвердили, что исходные неброневые маунты не возвращали в Classic. Поэтому для Anniversary это обоснованно историческая запись, но сам NPC сейчас не проверялся.		Не ждать фаз 4/5 TBC. Кандидат на Legacy/Unavailable с сохранением записи и истории; не заменять ID.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3128 ; https://www.wowhead.com/classic/news/brian-birmingham-and-patrick-dawson-from-wow-classic-on-vanilla-collector-s-291717 ; https://www.wowhead.com/wotlk/quest=7660/wolf-swapping-arctic-wolf	-
7678	Palomino Exchange	Eastern Kingdoms	12		Обмен старых маунтов	medium	Palomino Exchange: обмен старого неброневого эпического маунта на новый бронированный, а не способ получить старую модель. Исторический механизм patch 1.4; в интервью Blizzard подтвердили, что исходные неброневые маунты не возвращали в Classic. Поэтому для Anniversary это обоснованно историческая запись, но сам NPC сейчас не проверялся.		Не ждать фаз 4/5 TBC. Кандидат на Legacy/Unavailable с сохранением записи и истории; не заменять ID.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3129 ; https://www.wowhead.com/classic/news/brian-birmingham-and-patrick-dawson-from-wow-classic-on-vanilla-collector-s-291717 ; https://www.wowhead.com/wotlk/quest=7660/wolf-swapping-arctic-wolf	-
7863	Sentinel Basic Care Package	Kalimdor	331		Пакеты/награды: причина API неизвестна	medium	Взаимоисключающий уровневый вариант пакета за Friendly с Silverwing Sentinels (3000), NPC 14753, минимальный уровень 25; альтернативы 7864, 7865. Другой пакет не является переехавшим ID. Удаление из Anniversary не подтверждено; условия выдачи не доказывают причину пустого GetQuestInfo.	7864,7865	Проверить NPC 14753 подходящим персонажем с Friendly, до получения любого из пакетов; пока не скрывать как Removed.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3225 ; https://www.wowhead.com/tbc/quest=8260/arathor-basic-care-package	-
7864	Sentinel Standard Care Package	Kalimdor	331		Пакеты/награды: причина API неизвестна	medium	Взаимоисключающий уровневый вариант пакета за Friendly с Silverwing Sentinels (3000), NPC 14753, минимальный уровень 35; альтернативы 7863, 7865. Другой пакет не является переехавшим ID. Удаление из Anniversary не подтверждено; условия выдачи не доказывают причину пустого GetQuestInfo.	7863,7865	Проверить NPC 14753 подходящим персонажем с Friendly, до получения любого из пакетов; пока не скрывать как Removed.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3226 ; https://www.wowhead.com/tbc/quest=8260/arathor-basic-care-package	-
7866	Outrider Basic Care Package	Kalimdor	331		Пакеты/награды: причина API неизвестна	medium	Взаимоисключающий уровневый вариант пакета за Friendly с Warsong Outriders (3000), NPC 14754, минимальный уровень 25; альтернативы 7867, 7868. Другой пакет не является переехавшим ID. Удаление из Anniversary не подтверждено; условия выдачи не доказывают причину пустого GetQuestInfo.	7867,7868	Проверить NPC 14754 подходящим персонажем с Friendly, до получения любого из пакетов; пока не скрывать как Removed.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3228 ; https://www.wowhead.com/tbc/quest=8260/arathor-basic-care-package	-
7867	Outrider Standard Care Package	Kalimdor	331		Пакеты/награды: причина API неизвестна	medium	Взаимоисключающий уровневый вариант пакета за Friendly с Warsong Outriders (3000), NPC 14754, минимальный уровень 35; альтернативы 7866, 7868. Другой пакет не является переехавшим ID. Удаление из Anniversary не подтверждено; условия выдачи не доказывают причину пустого GetQuestInfo.	7866,7868	Проверить NPC 14754 подходящим персонажем с Friendly, до получения любого из пакетов; пока не скрывать как Removed.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3229 ; https://www.wowhead.com/tbc/quest=8260/arathor-basic-care-package	-
7872	Vanquish the Invaders!	Battlegrounds	3277		Историческая PvP-механика	high	Старая сдача одного WSG Mark of Honor, минимальный уровень 40. Найденный по имени 8291 — такой же старый вариант для уровня 60, а не новый Anniversary-ID. Questie явно помещает ОБА ID в старые недоступные PvP-квесты; наличие названия 8291 в API не означает, что его можно взять.	7788,7871,8291	Не менять 7872 на 8291; сохранить уровневые варианты и историю. Рассматривать как Legacy PvP, не Phase 4/5.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3232 ; https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/Corrections/QuestieQuestBlacklist.lua#L757 ; https://www.wowhead.com/tbc/quest=7873/vanquish-the-invaders ; https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3472	7788;7871;8291* (нет в EQ)
7873	Vanquish the Invaders!	Battlegrounds	3277		Историческая PvP-механика	high	Старая сдача одного WSG Mark of Honor, минимальный уровень 50. Найденный по имени 8291 — такой же старый вариант для уровня 60, а не новый Anniversary-ID. Questie явно помещает ОБА ID в старые недоступные PvP-квесты; наличие названия 8291 в API не означает, что его можно взять.	7788,7871,8291	Не менять 7873 на 8291; сохранить уровневые варианты и историю. Рассматривать как Legacy PvP, не Phase 4/5.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3233 ; https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/Corrections/QuestieQuestBlacklist.lua#L757 ; https://www.wowhead.com/tbc/quest=7873/vanquish-the-invaders ; https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3472	7788;7871;8291* (нет в EQ)
7875	Quell the Silverwing Usurpers	Battlegrounds	3277		Историческая PvP-механика	high	Старая сдача одного WSG Mark of Honor, минимальный уровень 40. Найденный по имени 8294 — такой же старый вариант для уровня 60, а не новый Anniversary-ID. Questie явно помещает ОБА ID в старые недоступные PvP-квесты; наличие названия 8294 в API не означает, что его можно взять.	7789,7874,7876,8294	Не менять 7875 на 8294; сохранить уровневые варианты и историю. Рассматривать как Legacy PvP, не Phase 4/5.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3235 ; https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/Corrections/QuestieQuestBlacklist.lua#L757 ; https://warcraft.wiki.gg/wiki/Quell_the_Silverwing_Usurpers ; https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3475	7789;7874;7876;8294* (нет в EQ)
8109	Kezan's Unstoppable Taint	Raids	19		ZG/Naxx/Atiesh: причина API неизвестна	medium	Zul'Gurub: финальное ожерелье warlock, после 8108; требуется Exalted Zandalar Tribe 42000, сдаётся 19604. Отдельная ступень репутации, не найдено другого ID. В Questie удаление помечено только начиная с Cataclysm; этот фильтр не применяется к TBC. Почему 2.5.6 не вернул название, установить по источникам не удалось.	8108	Не скрывать как removed/phase 4/5 и не менять ID. Проверить у NPC персонажем нужного класса с выполненными prerequisites/репутацией; сохранить как API-unresolved.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3347 ; https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/Corrections/QuestieQuestBlacklist.lua#L4553	-
8113	Pristine Enchanted South Seas Kelp	Raids	19		ZG/Naxx/Atiesh: причина API неизвестна	medium	Zul'Gurub: финальное ожерелье druid после 8112, Exalted 42000, предмет 19612; отдельная ступень репутации. В Questie удаление помечено только начиная с Cataclysm; этот фильтр не применяется к TBC. Почему 2.5.6 не вернул название, установить по источникам не удалось.	8112	Не скрывать как removed/phase 4/5 и не менять ID. Проверить у NPC персонажем нужного класса с выполненными prerequisites/репутацией; сохранить как API-unresolved.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3351 ; https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/Corrections/QuestieQuestBlacklist.lua#L4557	-
8122	Take Five Bases	Battlegrounds	3358		Остальные: причина API неизвестна	medium	Обычный PvP-квест на одновременное удержание 5 баз AB, Horde, уровень 60 и Exalted (42000) с The Defilers, NPC Deathmaster Dwire (15021). Требования объясняют невидимость у неподходящего персонажа, но не доказывают причину пустого API. Доказательств удаления в TBC нет.		Проверить диалог Deathmaster Dwire на Horde 60+ с Exalted; не удалять и не привязывать к будущей фазе.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3360 ; https://www.wowhead.com/tbc/quest=8122/take-five-bases	-
8143	Zandalarian Shadow Talisman	Raids	19		ZG/Naxx/Atiesh: причина API неизвестна	medium	Zul'Gurub: rogue-ожерелье Revered 21000 после 8142, сдаётся 19615. Названия 8141/8142 совпадают, но это предыдущие репутационные ступени, не замены. В Questie удаление помечено только начиная с Cataclysm; этот фильтр не применяется к TBC. Почему 2.5.6 не вернул название, установить по источникам не удалось.	8141,8142	Не скрывать как removed/phase 4/5 и не менять ID. Проверить у NPC персонажем нужного класса с выполненными prerequisites/репутацией; сохранить как API-unresolved.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3365 ; https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/Corrections/QuestieQuestBlacklist.lua#L4564	8141;8142
8146	The Maelstrom's Tendril	Raids	19		ZG/Naxx/Atiesh: причина API неизвестна	medium	Zul'Gurub: hunter-ожерелье Honored 9000 после 8145, предмет 19618. Найденный 8145 — предыдущий ранг, не правильный ID вместо 8146. В Questie удаление помечено только начиная с Cataclysm; этот фильтр не применяется к TBC. Почему 2.5.6 не вернул название, установить по источникам не удалось.	8145	Не скрывать как removed/phase 4/5 и не менять ID. Проверить у NPC персонажем нужного класса с выполненными prerequisites/репутацией; сохранить как API-unresolved.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3368 ; https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/Corrections/QuestieQuestBlacklist.lua#L4567	8145
